FIPS,NameState,FIPS_County,Name_County,Year_ID,ID_Tumor,Type_Tumor,Sex_ID,Sex_name,Mortality,Population
46,South Dakota,46003,Aurora County,2000,411,Esophageal cancer,1,Male,8.71388298854784,1553
46,South Dakota,46003,Aurora County,2000,414,Stomach cancer,1,Male,6.8678057771239,1553
46,South Dakota,46003,Aurora County,2000,417,Liver cancer,1,Male,4.65887506172525,1553
46,South Dakota,46003,Aurora County,2000,423,Larynx cancer,1,Male,2.39512795961498,1553
46,South Dakota,46003,Aurora County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,73.7802409069551,1553
46,South Dakota,46003,Aurora County,2000,429,Breast cancer,1,Male,0.317361127377311,1553
46,South Dakota,46003,Aurora County,2000,438,Prostate cancer,1,Male,30.4212520153349,1553
46,South Dakota,46003,Aurora County,2000,441,Colon and rectum cancer,1,Male,31.5224584782675,1553
46,South Dakota,46003,Aurora County,2000,444,Lip and oral cavity cancer,1,Male,2.1360531120372,1553
46,South Dakota,46003,Aurora County,2000,447,Nasopharynx cancer,1,Male,0.308428429816778,1553
46,South Dakota,46003,Aurora County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.32806909021742,1553
46,South Dakota,46003,Aurora County,2000,456,Pancreatic cancer,1,Male,11.9581426408511,1553
46,South Dakota,46003,Aurora County,2000,459,Malignant skin melanoma,1,Male,3.52954497644761,1553
46,South Dakota,46003,Aurora County,2000,462,Non-melanoma skin cancer,1,Male,1.31972292944123,1553
46,South Dakota,46003,Aurora County,2000,468,Testicular cancer,1,Male,0.254329174920128,1553
46,South Dakota,46003,Aurora County,2000,471,Kidney cancer,1,Male,6.95384577040226,1553
46,South Dakota,46003,Aurora County,2000,474,Bladder cancer,1,Male,6.9666571581636,1553
46,South Dakota,46003,Aurora County,2000,477,Brain and nervous system cancer,1,Male,6.26042604547792,1553
46,South Dakota,46003,Aurora County,2000,480,Thyroid cancer,1,Male,0.520363678935972,1553
46,South Dakota,46003,Aurora County,2000,483,Mesothelioma,1,Male,1.19414470396599,1553
46,South Dakota,46003,Aurora County,2000,484,Hodgkin lymphoma,1,Male,0.532121335694969,1553
46,South Dakota,46003,Aurora County,2000,485,Non-Hodgkin lymphoma,1,Male,10.9462267119528,1553
46,South Dakota,46003,Aurora County,2000,486,Multiple myeloma,1,Male,5.0331767497445,1553
46,South Dakota,46003,Aurora County,2000,487,Leukemia,1,Male,13.1126798798854,1553
46,South Dakota,46003,Aurora County,2000,845,Acute lymphoid leukemia,1,Male,0.839957688937751,1553
46,South Dakota,46003,Aurora County,2000,846,Chronic lymphoid leukemia,1,Male,5.08348501858393,1553
46,South Dakota,46003,Aurora County,2000,847,Acute myeloid leukemia,1,Male,5.89603291856883,1553
46,South Dakota,46003,Aurora County,2000,848,Chronic myeloid leukemia,1,Male,1.29320425379493,1553
46,South Dakota,46005,Beadle County,2000,411,Esophageal cancer,1,Male,10.0699918249571,8362
46,South Dakota,46005,Beadle County,2000,414,Stomach cancer,1,Male,8.15478473630556,8362
46,South Dakota,46005,Beadle County,2000,417,Liver cancer,1,Male,5.81805532488613,8362
46,South Dakota,46005,Beadle County,2000,423,Larynx cancer,1,Male,2.79357612165816,8362
46,South Dakota,46005,Beadle County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,86.8145100133538,8362
46,South Dakota,46005,Beadle County,2000,429,Breast cancer,1,Male,0.374895200912096,8362
46,South Dakota,46005,Beadle County,2000,438,Prostate cancer,1,Male,33.9552245038577,8362
46,South Dakota,46005,Beadle County,2000,441,Colon and rectum cancer,1,Male,38.1118489495778,8362
46,South Dakota,46005,Beadle County,2000,444,Lip and oral cavity cancer,1,Male,2.63519539854484,8362
46,South Dakota,46005,Beadle County,2000,447,Nasopharynx cancer,1,Male,0.333750628335171,8362
46,South Dakota,46005,Beadle County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.53319934213937,8362
46,South Dakota,46005,Beadle County,2000,456,Pancreatic cancer,1,Male,13.6159695166163,8362
46,South Dakota,46005,Beadle County,2000,459,Malignant skin melanoma,1,Male,4.14962163015035,8362
46,South Dakota,46005,Beadle County,2000,462,Non-melanoma skin cancer,1,Male,1.7687966365694,8362
46,South Dakota,46005,Beadle County,2000,468,Testicular cancer,1,Male,0.301454249625268,8362
46,South Dakota,46005,Beadle County,2000,471,Kidney cancer,1,Male,7.92737592013324,8362
46,South Dakota,46005,Beadle County,2000,474,Bladder cancer,1,Male,8.44542103412092,8362
46,South Dakota,46005,Beadle County,2000,477,Brain and nervous system cancer,1,Male,7.51277603532717,8362
46,South Dakota,46005,Beadle County,2000,480,Thyroid cancer,1,Male,0.595219903640062,8362
46,South Dakota,46005,Beadle County,2000,483,Mesothelioma,1,Male,1.4466711029127,8362
46,South Dakota,46005,Beadle County,2000,484,Hodgkin lymphoma,1,Male,0.630019985520845,8362
46,South Dakota,46005,Beadle County,2000,485,Non-Hodgkin lymphoma,1,Male,13.3356014307734,8362
46,South Dakota,46005,Beadle County,2000,486,Multiple myeloma,1,Male,5.68251927694813,8362
46,South Dakota,46005,Beadle County,2000,487,Leukemia,1,Male,14.5998738676995,8362
46,South Dakota,46005,Beadle County,2000,845,Acute lymphoid leukemia,1,Male,0.934296478404504,8362
46,South Dakota,46005,Beadle County,2000,846,Chronic lymphoid leukemia,1,Male,5.41861305605542,8362
46,South Dakota,46005,Beadle County,2000,847,Acute myeloid leukemia,1,Male,6.7766016132244,8362
46,South Dakota,46005,Beadle County,2000,848,Chronic myeloid leukemia,1,Male,1.4703627200152,8362
46,South Dakota,46007,Bennett County,2000,411,Esophageal cancer,1,Male,8.94200454462069,1770
46,South Dakota,46007,Bennett County,2000,414,Stomach cancer,1,Male,10.67114534653,1770
46,South Dakota,46007,Bennett County,2000,417,Liver cancer,1,Male,8.21737628482319,1770
46,South Dakota,46007,Bennett County,2000,423,Larynx cancer,1,Male,3.18658133797083,1770
46,South Dakota,46007,Bennett County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,93.2687703321415,1770
46,South Dakota,46007,Bennett County,2000,429,Breast cancer,1,Male,0.189338719397452,1770
46,South Dakota,46007,Bennett County,2000,438,Prostate cancer,1,Male,34.8563926831167,1770
46,South Dakota,46007,Bennett County,2000,441,Colon and rectum cancer,1,Male,44.2110045529954,1770
46,South Dakota,46007,Bennett County,2000,444,Lip and oral cavity cancer,1,Male,2.2866156143238,1770
46,South Dakota,46007,Bennett County,2000,447,Nasopharynx cancer,1,Male,0.666546122107842,1770
46,South Dakota,46007,Bennett County,2000,453,Gallbladder and biliary tract cancer,1,Male,2.3608063567621,1770
46,South Dakota,46007,Bennett County,2000,456,Pancreatic cancer,1,Male,14.0177810079579,1770
46,South Dakota,46007,Bennett County,2000,459,Malignant skin melanoma,1,Male,2.52439520011651,1770
46,South Dakota,46007,Bennett County,2000,462,Non-melanoma skin cancer,1,Male,1.56152671441854,1770
46,South Dakota,46007,Bennett County,2000,468,Testicular cancer,1,Male,0.285897788000052,1770
46,South Dakota,46007,Bennett County,2000,471,Kidney cancer,1,Male,10.621350207781,1770
46,South Dakota,46007,Bennett County,2000,474,Bladder cancer,1,Male,6.62183445455046,1770
46,South Dakota,46007,Bennett County,2000,477,Brain and nervous system cancer,1,Male,5.3745593216328,1770
46,South Dakota,46007,Bennett County,2000,480,Thyroid cancer,1,Male,0.628716728459977,1770
46,South Dakota,46007,Bennett County,2000,483,Mesothelioma,1,Male,1.03098594016016,1770
46,South Dakota,46007,Bennett County,2000,484,Hodgkin lymphoma,1,Male,0.428308168050299,1770
46,South Dakota,46007,Bennett County,2000,485,Non-Hodgkin lymphoma,1,Male,11.7526110588581,1770
46,South Dakota,46007,Bennett County,2000,486,Multiple myeloma,1,Male,5.35573250840496,1770
46,South Dakota,46007,Bennett County,2000,487,Leukemia,1,Male,13.2759889514732,1770
46,South Dakota,46007,Bennett County,2000,845,Acute lymphoid leukemia,1,Male,1.14688750749459,1770
46,South Dakota,46007,Bennett County,2000,846,Chronic lymphoid leukemia,1,Male,4.57364349210044,1770
46,South Dakota,46007,Bennett County,2000,847,Acute myeloid leukemia,1,Male,6.21160387722019,1770
46,South Dakota,46007,Bennett County,2000,848,Chronic myeloid leukemia,1,Male,1.34385407465796,1770
46,South Dakota,46009,Bon Homme County,2000,411,Esophageal cancer,1,Male,9.45566684926488,4016
46,South Dakota,46009,Bon Homme County,2000,414,Stomach cancer,1,Male,6.31955595043098,4016
46,South Dakota,46009,Bon Homme County,2000,417,Liver cancer,1,Male,4.97876781583998,4016
46,South Dakota,46009,Bon Homme County,2000,423,Larynx cancer,1,Male,2.67187242358431,4016
46,South Dakota,46009,Bon Homme County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,74.8694055145962,4016
46,South Dakota,46009,Bon Homme County,2000,429,Breast cancer,1,Male,0.332562010752435,4016
