FIPS,NameState,FIPS_County,Name_County,Year_ID,ID_Tumor,Type_Tumor,Sex_ID,Sex_name,Mortality,Population
49,Utah,49001,Beaver County,2000,411,Esophageal cancer,1,Male,9.91197956650389,3074
49,Utah,49001,Beaver County,2000,414,Stomach cancer,1,Male,6.92708698680849,3074
49,Utah,49001,Beaver County,2000,417,Liver cancer,1,Male,5.84226364477538,3074
49,Utah,49001,Beaver County,2000,423,Larynx cancer,1,Male,2.50603670559123,3074
49,Utah,49001,Beaver County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,71.5973326351281,3074
49,Utah,49001,Beaver County,2000,429,Breast cancer,1,Male,0.381159402092194,3074
49,Utah,49001,Beaver County,2000,438,Prostate cancer,1,Male,39.4370445381025,3074
49,Utah,49001,Beaver County,2000,441,Colon and rectum cancer,1,Male,30.3631914908782,3074
49,Utah,49001,Beaver County,2000,444,Lip and oral cavity cancer,1,Male,2.73442959935019,3074
49,Utah,49001,Beaver County,2000,447,Nasopharynx cancer,1,Male,0.390637105329936,3074
49,Utah,49001,Beaver County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.22261276997802,3074
49,Utah,49001,Beaver County,2000,456,Pancreatic cancer,1,Male,13.2410289512071,3074
49,Utah,49001,Beaver County,2000,459,Malignant skin melanoma,1,Male,6.76188094508096,3074
49,Utah,49001,Beaver County,2000,462,Non-melanoma skin cancer,1,Male,1.88965124268316,3074
49,Utah,49001,Beaver County,2000,468,Testicular cancer,1,Male,0.349351003194725,3074
49,Utah,49001,Beaver County,2000,471,Kidney cancer,1,Male,6.97725077500058,3074
49,Utah,49001,Beaver County,2000,474,Bladder cancer,1,Male,8.88589061695557,3074
49,Utah,49001,Beaver County,2000,477,Brain and nervous system cancer,1,Male,6.62083951184821,3074
49,Utah,49001,Beaver County,2000,480,Thyroid cancer,1,Male,0.610352071134158,3074
49,Utah,49001,Beaver County,2000,483,Mesothelioma,1,Male,2.02751843529231,3074
49,Utah,49001,Beaver County,2000,484,Hodgkin lymphoma,1,Male,0.636715724975466,3074
49,Utah,49001,Beaver County,2000,485,Non-Hodgkin lymphoma,1,Male,11.5631778141526,3074
49,Utah,49001,Beaver County,2000,486,Multiple myeloma,1,Male,5.47490619311849,3074
49,Utah,49001,Beaver County,2000,487,Leukemia,1,Male,13.7952597654126,3074
49,Utah,49001,Beaver County,2000,845,Acute lymphoid leukemia,1,Male,1.04604131731035,3074
49,Utah,49001,Beaver County,2000,846,Chronic lymphoid leukemia,1,Male,4.66831746317888,3074
49,Utah,49001,Beaver County,2000,847,Acute myeloid leukemia,1,Male,6.49030660515422,3074
49,Utah,49001,Beaver County,2000,848,Chronic myeloid leukemia,1,Male,1.59059437976913,3074
49,Utah,49003,Box Elder County,2000,411,Esophageal cancer,1,Male,6.96659168811753,21619
49,Utah,49003,Box Elder County,2000,414,Stomach cancer,1,Male,5.9032183906374,21619
49,Utah,49003,Box Elder County,2000,417,Liver cancer,1,Male,4.80416460618317,21619
49,Utah,49003,Box Elder County,2000,423,Larynx cancer,1,Male,1.60565620131634,21619
49,Utah,49003,Box Elder County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,35.6208149482943,21619
49,Utah,49003,Box Elder County,2000,429,Breast cancer,1,Male,0.321964874496288,21619
49,Utah,49003,Box Elder County,2000,438,Prostate cancer,1,Male,34.253458855654,21619
49,Utah,49003,Box Elder County,2000,441,Colon and rectum cancer,1,Male,26.7501211015314,21619
49,Utah,49003,Box Elder County,2000,444,Lip and oral cavity cancer,1,Male,2.16505655407086,21619
49,Utah,49003,Box Elder County,2000,447,Nasopharynx cancer,1,Male,0.313051122529184,21619
49,Utah,49003,Box Elder County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.04079147942353,21619
49,Utah,49003,Box Elder County,2000,456,Pancreatic cancer,1,Male,12.3613515797085,21619
49,Utah,49003,Box Elder County,2000,459,Malignant skin melanoma,1,Male,5.00502044493926,21619
49,Utah,49003,Box Elder County,2000,462,Non-melanoma skin cancer,1,Male,1.33992795325435,21619
49,Utah,49003,Box Elder County,2000,468,Testicular cancer,1,Male,0.233670161169557,21619
49,Utah,49003,Box Elder County,2000,471,Kidney cancer,1,Male,5.94238029321094,21619
49,Utah,49003,Box Elder County,2000,474,Bladder cancer,1,Male,7.40505861984532,21619
49,Utah,49003,Box Elder County,2000,477,Brain and nervous system cancer,1,Male,6.01883651469743,21619
49,Utah,49003,Box Elder County,2000,480,Thyroid cancer,1,Male,0.575415770422788,21619
49,Utah,49003,Box Elder County,2000,483,Mesothelioma,1,Male,1.92942272787782,21619
49,Utah,49003,Box Elder County,2000,484,Hodgkin lymphoma,1,Male,0.499105494114269,21619
49,Utah,49003,Box Elder County,2000,485,Non-Hodgkin lymphoma,1,Male,10.0440708572064,21619
49,Utah,49003,Box Elder County,2000,486,Multiple myeloma,1,Male,5.51684907076356,21619
49,Utah,49003,Box Elder County,2000,487,Leukemia,1,Male,12.5491518799186,21619
49,Utah,49003,Box Elder County,2000,845,Acute lymphoid leukemia,1,Male,0.802333778927821,21619
49,Utah,49003,Box Elder County,2000,846,Chronic lymphoid leukemia,1,Male,4.40472142827158,21619
49,Utah,49003,Box Elder County,2000,847,Acute myeloid leukemia,1,Male,5.89888753643292,21619
49,Utah,49003,Box Elder County,2000,848,Chronic myeloid leukemia,1,Male,1.44320913628628,21619
49,Utah,49005,Cache County,2000,411,Esophageal cancer,1,Male,6.14657283867311,45241
49,Utah,49005,Cache County,2000,414,Stomach cancer,1,Male,4.99322649575494,45241
49,Utah,49005,Cache County,2000,417,Liver cancer,1,Male,3.58839408907111,45241
49,Utah,49005,Cache County,2000,423,Larynx cancer,1,Male,1.41559994921189,45241
49,Utah,49005,Cache County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,22.6394883073083,45241
49,Utah,49005,Cache County,2000,429,Breast cancer,1,Male,0.317510229304552,45241
49,Utah,49005,Cache County,2000,438,Prostate cancer,1,Male,31.2236906418374,45241
49,Utah,49005,Cache County,2000,441,Colon and rectum cancer,1,Male,21.6380418412155,45241
49,Utah,49005,Cache County,2000,444,Lip and oral cavity cancer,1,Male,1.86637925041468,45241
49,Utah,49005,Cache County,2000,447,Nasopharynx cancer,1,Male,0.309421061200545,45241
49,Utah,49005,Cache County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.03731673960021,45241
49,Utah,49005,Cache County,2000,456,Pancreatic cancer,1,Male,11.4411956913119,45241
49,Utah,49005,Cache County,2000,459,Malignant skin melanoma,1,Male,5.07334157059868,45241
49,Utah,49005,Cache County,2000,462,Non-melanoma skin cancer,1,Male,1.40498087162843,45241
49,Utah,49005,Cache County,2000,468,Testicular cancer,1,Male,0.197558170850108,45241
49,Utah,49005,Cache County,2000,471,Kidney cancer,1,Male,5.44063707628641,45241
49,Utah,49005,Cache County,2000,474,Bladder cancer,1,Male,6.47778288916391,45241
49,Utah,49005,Cache County,2000,477,Brain and nervous system cancer,1,Male,5.42330493766411,45241
49,Utah,49005,Cache County,2000,480,Thyroid cancer,1,Male,0.552155119776707,45241
49,Utah,49005,Cache County,2000,483,Mesothelioma,1,Male,1.54885818228048,45241
49,Utah,49005,Cache County,2000,484,Hodgkin lymphoma,1,Male,0.452695767310493,45241
49,Utah,49005,Cache County,2000,485,Non-Hodgkin lymphoma,1,Male,11.0598844579792,45241
49,Utah,49005,Cache County,2000,486,Multiple myeloma,1,Male,5.47700875627796,45241
49,Utah,49005,Cache County,2000,487,Leukemia,1,Male,11.1403420310189,45241
49,Utah,49005,Cache County,2000,845,Acute lymphoid leukemia,1,Male,0.645175253919255,45241
49,Utah,49005,Cache County,2000,846,Chronic lymphoid leukemia,1,Male,3.82377800927828,45241
49,Utah,49005,Cache County,2000,847,Acute myeloid leukemia,1,Male,5.38811765278299,45241
49,Utah,49005,Cache County,2000,848,Chronic myeloid leukemia,1,Male,1.28327111503839,45241
49,Utah,49007,Carbon County,2000,411,Esophageal cancer,1,Male,8.24425585705551,10015
49,Utah,49007,Carbon County,2000,414,Stomach cancer,1,Male,7.30417132868988,10015
49,Utah,49007,Carbon County,2000,417,Liver cancer,1,Male,5.59458930215885,10015
49,Utah,49007,Carbon County,2000,423,Larynx cancer,1,Male,2.27153224516321,10015
49,Utah,49007,Carbon County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,60.1043260637341,10015
49,Utah,49007,Carbon County,2000,429,Breast cancer,1,Male,0.364997728562052,10015
49,Utah,49007,Carbon County,2000,438,Prostate cancer,1,Male,35.1894518784138,10015
49,Utah,49007,Carbon County,2000,441,Colon and rectum cancer,1,Male,31.7493076403511,10015
49,Utah,49007,Carbon County,2000,444,Lip and oral cavity cancer,1,Male,2.28732594968265,10015
49,Utah,49007,Carbon County,2000,447,Nasopharynx cancer,1,Male,0.354956992104212,10015
49,Utah,49007,Carbon County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.09722967560164,10015
49,Utah,49007,Carbon County,2000,456,Pancreatic cancer,1,Male,13.9109863354612,10015
49,Utah,49007,Carbon County,2000,459,Malignant skin melanoma,1,Male,5.4502476362905,10015
49,Utah,49007,Carbon County,2000,462,Non-melanoma skin cancer,1,Male,1.96258281985084,10015
49,Utah,49007,Carbon County,2000,468,Testicular cancer,1,Male,0.305390585524717,10015
49,Utah,49007,Carbon County,2000,471,Kidney cancer,1,Male,6.85877121850617,10015
49,Utah,49007,Carbon County,2000,474,Bladder cancer,1,Male,8.21480292367252,10015
49,Utah,49007,Carbon County,2000,477,Brain and nervous system cancer,1,Male,6.52992966643003,10015
49,Utah,49007,Carbon County,2000,480,Thyroid cancer,1,Male,0.6844488598951,10015
49,Utah,49007,Carbon County,2000,483,Mesothelioma,1,Male,1.8717800335667,10015
49,Utah,49007,Carbon County,2000,484,Hodgkin lymphoma,1,Male,0.599803521697368,10015
49,Utah,49007,Carbon County,2000,485,Non-Hodgkin lymphoma,1,Male,11.2367367569916,10015
49,Utah,49007,Carbon County,2000,486,Multiple myeloma,1,Male,5.39056110370106,10015
49,Utah,49007,Carbon County,2000,487,Leukemia,1,Male,13.6118652932216,10015
49,Utah,49007,Carbon County,2000,845,Acute lymphoid leukemia,1,Male,0.990586715299467,10015
49,Utah,49007,Carbon County,2000,846,Chronic lymphoid leukemia,1,Male,4.72862544468257,10015
49,Utah,49007,Carbon County,2000,847,Acute myeloid leukemia,1,Male,6.30614905922785,10015
49,Utah,49007,Carbon County,2000,848,Chronic myeloid leukemia,1,Male,1.58650407401172,10015
49,Utah,49009,Daggett County,2000,411,Esophageal cancer,1,Male,6.73325764577507,516
49,Utah,49009,Daggett County,2000,414,Stomach cancer,1,Male,4.644823434336,516
49,Utah,49009,Daggett County,2000,417,Liver cancer,1,Male,3.64656676751837,516
49,Utah,49009,Daggett County,2000,423,Larynx cancer,1,Male,1.64986583967734,516
49,Utah,49009,Daggett County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,40.5077118633152,516
49,Utah,49009,Daggett County,2000,429,Breast cancer,1,Male,0.260974605187078,516
49,Utah,49009,Daggett County,2000,438,Prostate cancer,1,Male,25.5199717207364,516
49,Utah,49009,Daggett County,2000,441,Colon and rectum cancer,1,Male,21.8345851406938,516
49,Utah,49009,Daggett County,2000,444,Lip and oral cavity cancer,1,Male,1.73946785026439,516
49,Utah,49009,Daggett County,2000,447,Nasopharynx cancer,1,Male,0.24579320844824,516
49,Utah,49009,Daggett County,2000,453,Gallbladder and biliary tract cancer,1,Male,0.831038375653194,516
49,Utah,49009,Daggett County,2000,456,Pancreatic cancer,1,Male,9.90134649666048,516
49,Utah,49009,Daggett County,2000,459,Malignant skin melanoma,1,Male,4.05631077944146,516
49,Utah,49009,Daggett County,2000,462,Non-melanoma skin cancer,1,Male,1.20372727700131,516
49,Utah,49009,Daggett County,2000,468,Testicular cancer,1,Male,0.212617870739856,516
49,Utah,49009,Daggett County,2000,471,Kidney cancer,1,Male,4.84605064982883,516
49,Utah,49009,Daggett County,2000,474,Bladder cancer,1,Male,5.90131909383042,516
49,Utah,49009,Daggett County,2000,477,Brain and nervous system cancer,1,Male,4.71126670209659,516
49,Utah,49009,Daggett County,2000,480,Thyroid cancer,1,Male,0.449685071107874,516
49,Utah,49009,Daggett County,2000,483,Mesothelioma,1,Male,1.43986060749543,516
49,Utah,49009,Daggett County,2000,484,Hodgkin lymphoma,1,Male,0.408666431637737,516
49,Utah,49009,Daggett County,2000,485,Non-Hodgkin lymphoma,1,Male,7.79675012209352,516
49,Utah,49009,Daggett County,2000,486,Multiple myeloma,1,Male,4.06988640507607,516
49,Utah,49009,Daggett County,2000,487,Leukemia,1,Male,8.90301627950331,516
49,Utah,49009,Daggett County,2000,845,Acute lymphoid leukemia,1,Male,0.622869599234585,516
49,Utah,49009,Daggett County,2000,846,Chronic lymphoid leukemia,1,Male,3.12033263776174,516
49,Utah,49009,Daggett County,2000,847,Acute myeloid leukemia,1,Male,4.12350800881269,516
49,Utah,49009,Daggett County,2000,848,Chronic myeloid leukemia,1,Male,1.03630603369429,516
49,Utah,49011,Davis County,2000,411,Esophageal cancer,1,Male,6.51620924979026,120743
49,Utah,49011,Davis County,2000,414,Stomach cancer,1,Male,5.70254006126773,120743
49,Utah,49011,Davis County,2000,417,Liver cancer,1,Male,3.83044899531941,120743
49,Utah,49011,Davis County,2000,423,Larynx cancer,1,Male,1.53458230768762,120743
49,Utah,49011,Davis County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,37.2833436549489,120743
49,Utah,49011,Davis County,2000,429,Breast cancer,1,Male,0.340730738750776,120743
49,Utah,49011,Davis County,2000,438,Prostate cancer,1,Male,32.8869772190666,120743
49,Utah,49011,Davis County,2000,441,Colon and rectum cancer,1,Male,24.1016583375124,120743
49,Utah,49011,Davis County,2000,444,Lip and oral cavity cancer,1,Male,2.12668854135329,120743
49,Utah,49011,Davis County,2000,447,Nasopharynx cancer,1,Male,0.31425046902556,120743
49,Utah,49011,Davis County,2000,453,Gallbladder and biliary tract cancer,1,Male,0.933080487218396,120743
49,Utah,49011,Davis County,2000,456,Pancreatic cancer,1,Male,11.3186037442137,120743
49,Utah,49011,Davis County,2000,459,Malignant skin melanoma,1,Male,4.85603103168799,120743
49,Utah,49011,Davis County,2000,462,Non-melanoma skin cancer,1,Male,1.48251778178615,120743
49,Utah,49011,Davis County,2000,468,Testicular cancer,1,Male,0.202859739769349,120743
49,Utah,49011,Davis County,2000,471,Kidney cancer,1,Male,5.57226575070947,120743
49,Utah,49011,Davis County,2000,474,Bladder cancer,1,Male,6.77074562499386,120743
49,Utah,49011,Davis County,2000,477,Brain and nervous system cancer,1,Male,6.08870784805665,120743
49,Utah,49011,Davis County,2000,480,Thyroid cancer,1,Male,0.604002153864951,120743
49,Utah,49011,Davis County,2000,483,Mesothelioma,1,Male,1.74079196150757,120743
49,Utah,49011,Davis County,2000,484,Hodgkin lymphoma,1,Male,0.513854217997107,120743
49,Utah,49011,Davis County,2000,485,Non-Hodgkin lymphoma,1,Male,10.941830535362,120743
49,Utah,49011,Davis County,2000,486,Multiple myeloma,1,Male,5.52232297916291,120743
49,Utah,49011,Davis County,2000,487,Leukemia,1,Male,11.6068362057786,120743
49,Utah,49011,Davis County,2000,845,Acute lymphoid leukemia,1,Male,0.761458135664804,120743
49,Utah,49011,Davis County,2000,846,Chronic lymphoid leukemia,1,Male,3.91885029693932,120743
49,Utah,49011,Davis County,2000,847,Acute myeloid leukemia,1,Male,5.64691216337866,120743
49,Utah,49011,Davis County,2000,848,Chronic myeloid leukemia,1,Male,1.27961560979578,120743
49,Utah,49013,Duchesne County,2000,411,Esophageal cancer,1,Male,8.25213525734041,7314
49,Utah,49013,Duchesne County,2000,414,Stomach cancer,1,Male,6.00229557074425,7314
49,Utah,49013,Duchesne County,2000,417,Liver cancer,1,Male,4.86043260005837,7314
49,Utah,49013,Duchesne County,2000,423,Larynx cancer,1,Male,2.24663490456336,7314
49,Utah,49013,Duchesne County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,58.5292324998222,7314
49,Utah,49013,Duchesne County,2000,429,Breast cancer,1,Male,0.283121727176536,7314
49,Utah,49013,Duchesne County,2000,438,Prostate cancer,1,Male,35.095057295869,7314
49,Utah,49013,Duchesne County,2000,441,Colon and rectum cancer,1,Male,30.7357105948436,7314
49,Utah,49013,Duchesne County,2000,444,Lip and oral cavity cancer,1,Male,2.52214407691898,7314
49,Utah,49013,Duchesne County,2000,447,Nasopharynx cancer,1,Male,0.252789946975952,7314
49,Utah,49013,Duchesne County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.1105024444048,7314
49,Utah,49013,Duchesne County,2000,456,Pancreatic cancer,1,Male,13.1087868527888,7314
49,Utah,49013,Duchesne County,2000,459,Malignant skin melanoma,1,Male,5.63463601480967,7314
49,Utah,49013,Duchesne County,2000,462,Non-melanoma skin cancer,1,Male,1.88023618109936,7314
49,Utah,49013,Duchesne County,2000,468,Testicular cancer,1,Male,0.311531277213695,7314
49,Utah,49013,Duchesne County,2000,471,Kidney cancer,1,Male,7.13087641656064,7314
49,Utah,49013,Duchesne County,2000,474,Bladder cancer,1,Male,7.55073465424605,7314
49,Utah,49013,Duchesne County,2000,477,Brain and nervous system cancer,1,Male,6.61568875828353,7314
49,Utah,49013,Duchesne County,2000,480,Thyroid cancer,1,Male,0.673889084092779,7314
49,Utah,49013,Duchesne County,2000,483,Mesothelioma,1,Male,1.71774580910475,7314
49,Utah,49013,Duchesne County,2000,484,Hodgkin lymphoma,1,Male,0.528162213433119,7314
49,Utah,49013,Duchesne County,2000,485,Non-Hodgkin lymphoma,1,Male,10.5937419090611,7314
49,Utah,49013,Duchesne County,2000,486,Multiple myeloma,1,Male,5.61388570893489,7314
